=== Shortest - All Items ==
Mycelium, Silverfish Spawn Egg, Jukebox, Chiseled Quartz Block
Silverfish Spawn Egg, Jukebox, Chiseled Quartz Block, Lime Dye
Recovery Compass, Jukebox, Fox Spawn Egg, Chiseled Quartz Block
Silverfish Spawn Egg, Jukebox, Chiseled Quartz Block, Honeycomb
Silverfish Spawn Egg, Empty Map, Chiseled Quartz Block, Jukebox
Jukebox, Vex Spawn Egg, Chiseled Quartz Block, Totem of Undying
Jukebox, Vex Spawn Egg, Block of Amethyst, Chiseled Quartz Block
Silverfish Spawn Egg, Jukebox, Magenta Dye, Chiseled Quartz Block
Jungle Log, Vex Spawn Egg, Chiseled Quartz Block, Totem of Undying
Recovery Compass, Jungle Log, Fox Spawn Egg, Chiseled Quartz Block

=== Shortest - Survival Friendly ===
Chiseled Quartz Block, Stripped Mangrove Wood, Eye of Ender, Jukebox
Smooth Quartz Slab, Jukebox, Recovery Compass, Warped Fungus on a Stick
Chiseled Quartz Block, Stripped Mangrove Wood, Totem of Undying, Jukebox
Oxeye Daisy, Jungle Leaves, Smooth Quartz Slab, Warped Fungus on a Stick
Jukebox, Recovery Compass, Warped Fungus on a Stick, Smooth Quartz Block
Chiseled Quartz Block, Stripped Mangrove Wood, Jungle Fence, Oxeye Daisy
Chiseled Quartz Block, Stripped Mangrove Wood, Block of Amethyst, Jukebox
Oxeye Daisy, Jungle Leaves, Warped Fungus on a Stick, Smooth Quartz Block
Smooth Quartz Slab, Jukebox, Lily of the Valley, Warped Fungus on a Stick
Chiseled Quartz Block, Stripped Mangrove Wood, Lily of the Valley, Jukebox

== Longest - All Items ==
Chiseled Quartz Block, Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab
Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab, Smooth Quartz Stairs
Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab, Smooth Quartz Block
Chiseled Quartz Block, Waxed Oxidized Cut Copper Slab, Jungle Fence Gate, Muddy Mangrove Roots
Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab, Smooth Quartz Slab
Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab, Nether Quartz Ore
Waxed Oxidized Cut Copper Slab, Smooth Quartz Block, Jungle Fence Gate, Muddy Mangrove Roots
Chiseled Quartz Block, Jungle Fence Gate, Zombie Villager Spawn Egg, Light Gray Shulker Box
Nether Quartz, Infested Mossy Stone Bricks, Jungle Leaves, Waxed Oxidized Cut Copper Slab
Chiseled Quartz Block, Waxed Oxidized Cut Copper Slab, Jungle Fence, Muddy Mangrove Roots

== Longest - Survival Friendly ==
Muddy Mangrove Roots, Jungle Fence Gate, Waxed Oxidized Cut Copper Slab, Chiseled Quartz Block
Muddy Mangrove Roots, Jungle Fence Gate, Waxed Oxidized Cut Copper Slab, Smooth Quartz Block
Muddy Mangrove Roots, Jungle Fence, Waxed Oxidized Cut Copper Slab, Chiseled Quartz Block
Chiseled Quartz Block, Light Gray Shulker Box, Stripped Mangrove Wood, Jungle Fence Gate
Muddy Mangrove Roots, Block of Quartz, Jungle Chest Boat, Waxed Oxidized Cut Copper Slab
Chiseled Quartz Block, Jungle Leaves, Block of Amethyst, Waxed Oxidized Cut Copper Slab
Muddy Mangrove Roots, Jungle Fence, Waxed Oxidized Cut Copper Slab, Smooth Quartz Block
Jungle Leaves, Block of Amethyst, Smooth Quartz Stairs, Waxed Oxidized Cut Copper Slab
Chiseled Quartz Block, Jungle Leaves, Totem of Undying, Waxed Oxidized Cut Copper Slab
Heavy Weighted Pressure Plate, Jukebox, Warped Fungus on a Stick, Smooth Quartz Block
